Model Year,Make,Model,Vehicle Class,Engine Size,Cylinders,Transmission,Fuel Type,Fuel Consumption City,Fuel Consumption Hwy,Fuel Consumption Comb,Fuel Consumption Comb (mpg),CO2 Emissions
1995,CHEVROLET,C1500 DIESEL,PICKUP TRUCK - STANDARD,6.5,8.0,A4,Diesel,14.8,11.3,13.2,21.0,356
1995,CHEVROLET,C1500 DIESEL,PICKUP TRUCK - STANDARD,6.5,8.0,M5,Diesel,15.1,11.8,13.6,21.0,367
1995,CHEVROLET,C1500 TURBODIESEL,PICKUP TRUCK - STANDARD,6.5,8.0,A4,Diesel,16.1,12.5,14.4,20.0,389
1995,CHEVROLET,C2500 DIESEL,PICKUP TRUCK - STANDARD,6.5,8.0,A4,Diesel,15.4,11.5,13.7,21.0,370
1995,CHEVROLET,C2500 DIESEL,PICKUP TRUCK - STANDARD,6.5,8.0,M5,Diesel,15.5,12.2,14.0,20.0,378
1995,CHEVROLET,C2500 TURBODIESEL,PICKUP TRUCK - STANDARD,6.5,8.0,A4,Diesel,16.4,12.8,14.8,19.0,400
1995,CHEVROLET,G10/G20 VAN DIESEL,VAN - PASSENGER,6.5,8.0,A4,Diesel,15.6,12.0,14.0,20.0,378
1995,CHEVROLET,K1500 4X4 DIESEL,PICKUP TRUCK - STANDARD,6.5,8.0,A4,Diesel,16.7,13.3,15.2,19.0,410
1995,CHEVROLET,K1500 4X4 DIESEL,PICKUP TRUCK - STANDARD,6.5,8.0,M5,Diesel,15.7,12.1,14.1,20.0,381
1995,CHEVROLET,K1500 4X4 TURBODIESEL,PICKUP TRUCK - STANDARD,6.5,8.0,A4,Diesel,17.3,13.6,15.7,18.0,424
1995,CHEVROLET,K1500 TAHOE 4X4 TURBODIESEL,SUV,6.5,8.0,A4,Diesel,18.2,14.7,16.6,17.0,448
1995,CHEVROLET,K1500 YUKON 4X4 TURBODIESEL,SUV,6.5,8.0,A4,Diesel,18.2,14.7,16.6,17.0,448
1995,CHEVROLET,K2500 4X4 DIESEL,PICKUP TRUCK - STANDARD,6.5,8.0,A4,Diesel,16.7,13.3,15.2,19.0,410
1995,CHEVROLET,K2500 4X4 DIESEL,PICKUP TRUCK - STANDARD,6.5,8.0,M5,Diesel,16.2,13.1,14.8,19.0,400
1995,CHEVROLET,K2500 4X4 TURBODIESEL,PICKUP TRUCK - STANDARD,6.5,8.0,A4,Diesel,18.2,14.7,16.6,17.0,448
1995,GMC,C1500 SIERRA DIESEL,PICKUP TRUCK - STANDARD,6.5,8.0,A4,Diesel,15.1,11.4,13.5,21.0,365
1995,GMC,C1500 SIERRA DIESEL,PICKUP TRUCK - STANDARD,6.5,8.0,M5,Diesel,15.4,12.1,13.9,20.0,375
