Fuel Type,Model Year,Engine Size,Cylinders,Fuel Consumption City
Prm. Gasoline,2016,4.0,8.0,13.4
Prm. Gasoline,2023,4.4,8.0,16.1
Reg. Gasoline,2005,2.4,4.0,12.6
Reg. Gasoline,1996,3.4,6.0,15.7
Reg. Gasoline,1995,2.2,4.0,12.8
Prm. Gasoline,1999,5.0,8.0,16.3
Reg. Gasoline,1999,2.5,6.0,13.8
Ethanol (E85),2005,5.3,8.0,21.6
Reg. Gasoline,2011,5.7,8.0,16.9
Reg. Gasoline,2005,2.5,4.0,11.4
Prm. Gasoline,2022,2.0,4.0,10.9
Reg. Gasoline,1999,3.0,6.0,14.3
Reg. Gasoline,2006,2.5,6.0,13.5
Reg. Gasoline,2002,2.7,6.0,13.2
Reg. Gasoline,2022,2.5,4.0,8.7
Ethanol (E85),2016,3.5,6.0,18.7
Reg. Gasoline,2005,5.3,8.0,18.3
Prm. Gasoline,2020,4.4,8.0,14.5
Prm. Gasoline,2006,4.6,8.0,17.9
Reg. Gasoline,2007,4.3,6.0,17.8
