Fuel Type,Model Year,Engine Size,Cylinders,Fuel Consumption City
Ethanol (E85),2014,3.6,6.0,16.8
Ethanol (E85),2015,3.5,6.0,19.2
Ethanol (E85),2023,5.3,8.0,19.6
Ethanol (E85),2018,5.3,8.0,19.7
Ethanol (E85),2009,2.4,4.0,14.2
Ethanol (E85),2012,5.3,8.0,20.7
Ethanol (E85),2010,5.3,8.0,21.5
Ethanol (E85),2011,2.4,4.0,15.3
Ethanol (E85),2006,3.3,6.0,20.4
Ethanol (E85),2016,2.4,4.0,15.6
Ethanol (E85),2012,3.6,6.0,19.1
Ethanol (E85),2007,3.3,6.0,20.4
Ethanol (E85),2003,2.7,6.0,16.7
Ethanol (E85),2022,5.0,8.0,20.7
Ethanol (E85),2008,3.3,6.0,18.9
Ethanol (E85),2004,5.3,8.0,24.7
Ethanol (E85),2018,3.6,6.0,19.7
Ethanol (E85),2011,4.6,8.0,20.3
Ethanol (E85),1999,3.0,6.0,21.7
Ethanol (E85),2018,3.3,6.0,17.6
