Fuel Type,Model Year,Engine Size,Cylinders,Fuel Consumption City
Natural Gas,1999,5.2,8.0,24.1
Natural Gas,2002,4.6,8.0,17.3
Natural Gas,2002,6.0,8.0,23.4
Natural Gas,2002,5.4,8.0,21.6
Natural Gas,1999,5.2,8.0,24.1
Natural Gas,2016,3.6,6.0,15.2
Natural Gas,1996,4.6,8.0,15.3
Natural Gas,2000,5.2,8.0,20.8
Natural Gas,2004,5.4,8.0,21.1
Natural Gas,2004,6.0,8.0,22.2
Natural Gas,1998,5.4,8.0,22.7
Natural Gas,2002,5.2,8.0,20.7
Natural Gas,1999,5.2,8.0,24.1
Natural Gas,2004,6.0,8.0,22.2
Natural Gas,2002,5.2,8.0,20.7
Natural Gas,2003,6.0,8.0,21.8
Natural Gas,2003,6.0,8.0,21.8
Natural Gas,2003,5.2,8.0,20.7
Natural Gas,2002,6.0,8.0,22.2
Natural Gas,2001,5.4,8.0,22.1
