Fuel Type,Model Year,Engine Size,Cylinders,Fuel Consumption City
Prm. Gasoline,2020,1.8,4.0,9.7
Prm. Gasoline,2005,1.6,4.0,10.9
Prm. Gasoline,2023,5.2,10.0,16.6
Prm. Gasoline,2010,3.0,6.0,13.3
Prm. Gasoline,2010,4.4,8.0,17.1
Prm. Gasoline,1997,5.7,8.0,15.9
Prm. Gasoline,2016,2.0,4.0,9.8
Prm. Gasoline,2010,1.6,4.0,9.1
Prm. Gasoline,2007,4.2,8.0,17.2
Prm. Gasoline,2017,2.0,4.0,11.8
Prm. Gasoline,2015,4.2,8.0,14.8
Prm. Gasoline,2016,2.0,4.0,11.1
Prm. Gasoline,2013,3.5,6.0,12.1
Prm. Gasoline,2008,3.0,6.0,14.4
Prm. Gasoline,2013,3.0,6.0,12.2
Prm. Gasoline,2000,1.8,4.0,12.1
Prm. Gasoline,2019,2.9,6.0,13.1
Prm. Gasoline,2020,3.8,8.0,17.3
Prm. Gasoline,2018,3.6,6.0,15.0
Prm. Gasoline,2018,1.6,4.0,9.1
