Fuel Type,Model Year,Engine Size,Cylinders,Fuel Consumption City
Reg. Gasoline,2007,5.3,8.0,16.0
Reg. Gasoline,2012,2.9,4.0,12.8
Reg. Gasoline,2011,6.0,8.0,22.8
Reg. Gasoline,1996,3.3,6.0,16.3
Reg. Gasoline,1996,3.0,6.0,14.7
Reg. Gasoline,2017,2.5,4.0,13.5
Reg. Gasoline,2016,2.0,4.0,10.1
Reg. Gasoline,2003,2.5,4.0,12.2
Reg. Gasoline,2019,1.4,4.0,9.4
Reg. Gasoline,2017,1.5,4.0,4.9
Reg. Gasoline,2004,3.4,6.0,13.5
Reg. Gasoline,2011,4.0,6.0,16.3
Reg. Gasoline,2016,1.6,4.0,7.5
Reg. Gasoline,1996,3.1,6.0,13.9
Reg. Gasoline,2013,2.5,4.0,10.5
Reg. Gasoline,2000,3.8,6.0,13.7
Reg. Gasoline,2022,2.0,4.0,11.5
Reg. Gasoline,2016,1.8,4.0,8.5
Reg. Gasoline,2015,3.5,6.0,16.2
Reg. Gasoline,1995,2.5,6.0,13.0
